author,location,lat,lon
@MattGardnerRea1,"Annapolis,Maryland,United States of America",38.9706,-76.5047
@WHarpine,"Corpus Christi,Texas,United States of America",27.7173,-97.3822
@SonnyKyner,"San Francisco,California,United States of America",37.7562,-122.4430
@TheMrJayBrown,"New York,New York,United States of America",40.6943,-73.9249
@AllBookedUpPod,"Buffalo,New York,United States of America",42.9017,-78.8487
@GDLA,"Los Angeles,California,United States of America",34.1139,-118.4068
@AbigailFolkert1,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@LEWilliamsII,"San Bernardino,California,United States of America",34.1412,-117.2936
@KickinBrass1,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@CEFan4Ever19,"Raleigh,North Carolina,United States of America",35.8323,-78.6439
@MARILYN19556,"Spring Hill,Florida,United States of America",28.4797,-82.5300
@SHaynes7926,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@dutch2g,"New York,New York,United States of America",40.6943,-73.9249
@grgpetro,"Palm Springs,California,United States of America",33.8013,-116.5381
@janrobinjackson,"Norman,Oklahoma,United States of America",35.2335,-97.3471
@sandune913,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@_AlyssaJordyn,"Houston,Texas,United States of America",29.7868,-95.3905
@MariefromPA,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@sheepie_sleepy,"New York,New York,United States of America",40.6943,-73.9249
@VAnnie71875849,"Dallas,Texas,United States of America",32.7937,-96.7662
@s_weethoney9,"Montgomery,Alabama,United States of America",32.3470,-86.2663
@Hotlips_smiling,"New Orleans,Louisiana,United States of America",30.0687,-89.9288
@imthecooles,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@jennyynicoleee,"San Antonio,Texas,United States of America",29.4722,-98.5247
@Rick_Ingersoll,"Palmer,Alaska,United States of America",61.5971,-149.1147
@fakeAndyShore,"Santa Cruz,California,United States of America",36.9788,-122.0346
@avibebert,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@dianna646,"Springfield,Illinois,United States of America",39.7712,-89.6539
@NajeebaSyeed,"Los Angeles,California,United States of America",34.1139,-118.4068
@TRASTORN1890,"Miami,Florida,United States of America",25.7840,-80.2102
@JerryCurtis7,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@MelDresden,"New Orleans,Louisiana,United States of America",30.0687,-89.9288
@nahime,"Chicago,Illinois,United States of America",41.8373,-87.6861
